time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-28 00:00:00+00:00,480,219,136,56
2025-10-29 00:00:00+00:00,398,201,180,47
2025-10-30 00:00:00+00:00,1098,237,225,56
2025-10-31 00:00:00+00:00,1459,179,176,46
2025-11-01 00:00:00+00:00,1299,77,45,30
2025-11-02 00:00:00+00:00,1354,67,50,35
2025-11-03 00:00:00+00:00,1613,204,184,53
2025-11-04 00:00:00+00:00,1082,213,106,44
2025-11-05 00:00:00+00:00,1046,241,123,45
2025-11-06 00:00:00+00:00,1159,255,133,60
2025-11-07 00:00:00+00:00,1586,191,76,43
2025-11-08 00:00:00+00:00,800,79,32,19
2025-11-09 00:00:00+00:00,297,107,40,17
2025-11-10 00:00:00+00:00,486,182,83,24
