time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-11 00:00:00+00:00,598,178,129,40
2025-12-12 00:00:00+00:00,352,176,119,35
2025-12-13 00:00:00+00:00,92,52,23,14
2025-12-14 00:00:00+00:00,129,66,43,21
2025-12-15 00:00:00+00:00,304,146,122,30
2025-12-16 00:00:00+00:00,276,138,102,44
2025-12-17 00:00:00+00:00,266,135,69,41
2025-12-18 00:00:00+00:00,409,120,106,34
2025-12-19 00:00:00+00:00,184,87,121,36
2025-12-20 00:00:00+00:00,105,63,35,18
2025-12-21 00:00:00+00:00,122,70,57,24
2025-12-22 00:00:00+00:00,129,69,45,28
2025-12-23 00:00:00+00:00,233,74,78,30
2025-12-24 00:00:00+00:00,123,68,39,16
